Cancer type,Stage at diagnosis,Tumour resection only: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) only_SACT intent Palliative: % of SoC treatments,Chemotherapy (other) only_SACT intent Curative: % of SoC treatments,Chemotherapy (other) only_SACT intent Other or unknown: % of SoC treatments,Chemotherapy (other) only_SACT intent Palliative: % of SoC treatments,Radiotherapy only-RTDS intent Curative: % of SoC treatments,Radiotherapy only-RTDS intent Other or unknown: % of SoC treatments,Radiotherapy only-RTDS intent Palliative: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Curative: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Other or unknown: % of SoC treatments,Tumour resection and chemotherapy (cytotoxic)_SACT intent Palliative: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Curative: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Other or unknown: % of SoC treatments,Tumour resection and chemotherapy (other)_SACT intent Palliative: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Curative: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Other or unknown: % of SoC treatments,Tumour resection and radiotherapy-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Curative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Curative: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (cytotoxic) and radiotherapy_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Curative-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Curative: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments,Chemotherapy (other) and radiotherapy_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments,"Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Curative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (cytotoxic)_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Curative-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Other or unknown-RTDS intent Palliative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Curative: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Other or unknown: % of SoC treatments","Tumour resection, radiotherapy and chemotherapy (other)_SACT intent Palliative-RTDS intent Palliative: % of SoC treatments",Other care: % of SoC treatments
Head and Neck,4,7.458,0.422,0.641,1.445,0,0.015,0.025,6.207,2.17,4.524,0.164,0.134,0.367,0.02,0.02,0.01,14.425,2.185,0.859,19.067,0.209,0.303,2.259,1.44,0.223,0.864,0.139,0.71,1.892,0.005,0,1.445,1.157,0.159,0.05,0.01,0.015,12.285,0.04,0.06,1.614,0.705,0.06,0.665,0.02,0.124,0.934,0.005,0,0.998,0.641,0.035,0.055,0,0,10.725
Head and Neck,X,27.405,0.393,0.599,0.824,0,0.075,0.094,8.817,2.808,2.77,0.131,0.056,0.112,0.037,0.019,0.019,8.049,0.842,0.374,7.039,0.019,0.131,1.067,0.618,0.075,0.337,0.094,0.318,0.449,0,0,0.58,0.599,0.075,0.019,0.019,0,3.594,0.056,0,0.487,0.262,0.037,0.225,0.019,0.131,0.187,0,0,0.356,0.187,0,0,0,0.037,29.558
Kidney,1,68.204,0.03,0.157,0.079,0.006,0.048,0.103,0.091,0.121,0.073,0.036,0.236,0.091,0,0.042,0.121,0.091,0.175,0.091,0.006,0,0,0,0.006,0.006,0,0,0.018,0,0,0,0,0.006,0,0,0,0.03,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.006,0,0,0,0.054,30.068
Kidney,2,79.957,0.036,0.143,0.43,0.072,0.072,0.251,0,0.036,0.143,0.323,0.61,0.681,0.036,0.179,0.968,0.287,0.108,0.394,0,0,0,0,0.036,0.036,0,0,0.072,0,0,0,0,0,0,0,0.036,0.036,0.036,0,0,0.036,0,0,0.036,0,0.108,0,0,0,0,0.036,0,0.036,0,0.323,14.45
Kidney,3,79.525,0.043,0.313,0.568,0.014,0.128,0.81,0.028,0.057,0.213,1.279,1.108,1.662,0.071,0.611,3.424,0.298,0.213,0.483,0,0,0.014,0,0.014,0.028,0,0.014,0.057,0,0,0,0,0,0.014,0,0.028,0.057,0,0.014,0.057,0.014,0.014,0.142,0.014,0.014,0.327,0,0,0,0,0.014,0.057,0.043,0.028,0.838,7.346
Kidney,4,10.615,0.091,2.82,6.594,0.196,1.436,11.659,0.339,0.574,6.907,0.131,1.031,2.598,0.065,0.509,5.014,0.248,0.157,1.475,0.026,0,0.118,0.131,0.326,1.11,0.261,0.131,3.878,0,0,0.039,0.013,0.431,0.47,0.509,0.522,6.489,0,0,0.026,0.013,0.131,0.392,0.078,0.052,1.031,0.013,0,0.013,0.013,0.065,0.091,0.248,0.118,1.763,29.038
Kidney,X,41.143,0.066,0.562,1.008,0.033,0.248,1.735,0.116,0.281,0.727,0.231,0.264,0.297,0.033,0.083,0.859,0.116,0.165,0.182,0,0,0.017,0.05,0.083,0.099,0.017,0.05,0.264,0,0,0,0,0.033,0.017,0.033,0.083,0.463,0,0,0,0,0,0.017,0,0,0.066,0,0,0,0,0,0,0.033,0,0.182,50.347
Liver/Bile-duct,1,42.865,0.326,2.279,2.876,0,0.163,1.139,0.597,0.597,0.326,1.465,13.348,4.829,0.109,0.271,0.651,0.109,0.597,0.488,0.054,0,0,0.054,0.054,0,0.109,0.054,0.109,0,0,0,0,0.054,0,0,0.054,0.054,0.054,0.054,0,0.271,0.109,0.109,0,0.217,0.217,0,0,0,0,0.054,0,0,0,0.054,25.231
Liver/Bile-duct,2,26.846,0.399,4.291,3.493,0,0.1,1.397,0.15,0.25,0.699,3.343,15.369,6.188,0,0.349,0.948,0.15,0.399,0.15,0.05,0,0,0.1,0.15,0.1,0,0.05,0.2,0,0,0,0.05,0.1,0,0.05,0.1,0.15,0.05,0,0.05,0.25,0.349,0.25,0,0.1,0.449,0,0,0,0,0.05,0.1,0,0.15,0.05,32.535
Liver/Bile-duct,3,9.593,1.929,4.716,9.753,0,0.589,5.145,0.107,0.589,0.589,1.554,6.967,4.394,0,0.107,0.804,0.054,0.107,0.107,0.107,0,0.054,0,0.161,0,0.107,0.268,0.214,0,0,0,0,0.214,0.054,0,0.536,0.268,0.054,0,0.107,0.107,0.322,0.107,0,0.214,0.375,0,0,0,0,0,0,0,0.107,0.322,49.196
Liver/Bile-duct,4,2.524,1.11,4.349,18.847,0.018,0.376,2.595,0.072,0.537,3.437,0.537,1.038,1.593,0,0.018,0.197,0,0.089,0.107,0.036,0.018,0.036,0.036,0.215,0.358,0.143,0.268,2.381,0,0,0,0,0.089,0.125,0.036,0.054,0.716,0.018,0.018,0.018,0,0.089,0.036,0.018,0.161,0.089,0,0,0,0,0.018,0,0,0.036,0.018,57.526
Liver/Bile-duct,X,8.075,0.29,4.338,5.746,0.021,0.435,1.864,0.207,0.445,0.58,0.725,5.611,3.147,0.021,0.093,0.424,0.01,0.052,0.145,0.031,0.01,0.01,0.021,0.155,0.124,0.135,0.155,0.424,0,0,0,0,0.041,0.01,0.01,0.021,0.083,0.01,0.01,0.031,0.062,0.155,0.072,0.021,0.104,0.176,0,0,0,0,0.052,0.01,0,0.021,0,65.814
Lung,1,56.781,0.09,0.399,0.412,0.006,0.016,0.084,14.079,3.115,0.756,1.612,0.872,0.299,0.019,0.029,0.061,0.621,0.245,0.097,0.441,0.01,0.013,0.158,0.138,0.032,0.126,0.006,0.09,0.003,0,0.003,0.09,0.055,0.006,0.006,0.01,0.006,0.122,0.006,0.01,0.023,0.035,0.003,0.019,0,0.023,0.01,0,0,0,0.01,0.003,0.006,0,0.016,18.926
Lung,2,29.47,0.986,1.074,1.924,0.024,0.056,0.16,9.353,2.244,3.262,16.262,4.961,1.354,0.032,0.056,0.064,1.25,0.281,0.337,3.583,0.064,0.24,0.449,0.657,0.128,1.01,0.128,0.665,0.016,0.008,0,0.192,0.136,0.04,0.008,0.008,0.024,0.946,0.072,0.144,0.12,0.088,0.008,0.072,0.032,0.04,0.008,0.008,0,0.016,0.048,0,0.016,0,0.008,17.865
Lung,3,5.007,2.493,3.16,11.779,0.018,0.263,1.587,4.756,1.458,7.095,5.254,1.612,0.673,0.009,0.024,0.066,0.293,0.103,0.151,11.797,0.35,1.243,1.557,1.762,0.745,5.39,0.344,5.109,0.148,0.003,0.009,0.344,0.347,0.078,0.06,0.033,0.302,0.625,0.051,0.075,0.069,0.115,0.012,0.054,0.018,0.042,0.003,0.003,0,0.012,0.021,0,0.003,0.003,0.012,23.458
Lung,4,0.62,0.301,3.564,18.304,0.017,0.375,3.021,0.762,1.314,11.789,0.114,0.118,0.252,0.003,0.013,0.044,0.053,0.027,0.095,0.366,0.026,0.256,0.173,0.638,1.385,1.395,0.533,10.306,0.006,0,0.005,0.029,0.15,0.229,0.156,0.086,1.253,0.028,0.008,0.014,0.001,0.006,0.006,0.022,0.006,0.045,0,0,0,0,0,0,0,0.003,0.01,42.072
Lung,X,8.518,0.19,1.243,3.32,0.018,0.118,0.617,2.123,0.862,2.712,0.354,0.299,0.109,0,0.045,0.054,0.027,0.027,0.018,0.753,0.027,0.073,0.172,0.272,0.154,0.299,0.082,1.125,0.073,0,0,0,0.082,0.009,0.073,0.018,0.181,0.009,0.009,0.009,0.036,0.009,0,0.027,0,0.027,0,0,0,0,0.018,0,0,0,0,75.807
Lymphoma,1,0,12.214,6.298,3.733,0.254,0.279,0.495,19.528,2.362,2.031,0,0,0,0,0,0,0,0,0,16.036,0.279,0.724,3.098,2.095,0.267,1.854,0.038,0.343,0.216,0,0,0.33,0.102,0.013,0.076,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.247
Lymphoma,2,0,27.71,12.821,9.202,0.345,0.293,0.655,4.532,0.707,1.361,0,0,0,0,0,0,0,0,0,13.648,0.431,1.137,2.619,1.775,0.31,1.603,0.086,0.465,0.034,0,0,0.138,0.069,0.017,0.069,0.017,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.903
Lymphoma,3,0,28.93,15.221,16.215,0.384,0.508,1.265,0.644,0.316,0.858,0,0,0,0,0,0,0,0,0,4.483,0.237,1.05,0.847,0.689,0.316,0.768,0.079,0.542,0.023,0.011,0.023,0,0.045,0.034,0,0.011,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.491
Lymphoma,4,0,27.911,14.803,16.412,0.616,0.644,1.349,0.598,0.273,0.881,0,0,0,0,0,0,0,0,0,5.279,0.283,2.313,0.955,1.043,0.482,0.881,0.097,0.788,0.028,0.005,0.037,0.019,0.06,0.023,0.032,0.005,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.133
Lymphoma,X,0,11.861,10.148,9.507,0.611,0.631,1.362,3.416,0.791,1.763,0,0,0,0,0,0,0,0,0,2.905,0.09,0.671,0.811,0.691,0.391,0.471,0.02,0.501,0.08,0,0,0.04,0.05,0.02,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.055
Melanoma,1,97.223,0,0.009,0,0,0.009,0.003,0.117,0.226,0,0.024,0.063,0.078,0.108,0.063,0.15,0.126,0.084,0.063,0,0,0,0,0.006,0,0.003,0.003,0,0.003,0,0,0,0.021,0,0,0,0.003,0.003,0,0.003,0,0.006,0.006,0.003,0,0.03,0,0,0.003,0,0.003,0,0.006,0,0.024,1.526
Melanoma,2,87.64,0,0.1,0.03,0,0.04,0.05,0.532,0.913,0.01,0.251,0.582,0.893,1.294,0.722,2.057,0.873,0.451,0.502,0,0.01,0,0.01,0.06,0.02,0,0,0.01,0,0,0,0.02,0.09,0,0.05,0,0.02,0.01,0,0,0.02,0.11,0.06,0.04,0.01,0.211,0.03,0,0.04,0.01,0.14,0.05,0.15,0.02,0.451,1.415
Melanoma,3,60.089,0.079,0.053,0.132,0.237,0.158,0.237,0.289,0.237,0.079,1.868,2.289,2.315,11.234,3.078,6.946,2.841,0.579,0.737,0,0,0,0,0.026,0.026,0,0,0.079,0,0,0,0.079,0.026,0,0.132,0.026,0.079,0.026,0,0.026,0.053,0.184,0.184,0.447,0.026,0.789,0.21,0.184,0.368,0.079,0.316,0.053,0.868,0.053,1.158,1.026
Melanoma,4,20.334,0,1.204,2.876,0.535,1.873,8.227,1.338,0.535,2.408,0.268,1.94,5.686,2.14,3.077,11.237,1.338,0.535,1.94,0,0,0.134,0,0.468,0.535,0.602,0,2.609,0.067,0,0.334,0,0.669,0.067,1.07,0.602,3.946,0.134,0,0,0.067,0.334,0.201,1.003,0.201,1.472,0.201,0.067,0.134,0.067,0.87,0,1.338,0.268,3.144,11.906
Melanoma,X,59.292,0.035,0.656,0.656,0.138,0.311,1.123,7.651,6.045,0.38,0.242,0.553,0.656,2.09,0.587,1.658,1.105,0.501,0.328,0.052,0,0.017,0.035,0.138,0.035,0.138,0.069,0.363,0.017,0.017,0.035,0.086,0.259,0.035,0.138,0.086,0.639,0.017,0,0.035,0.017,0.052,0.035,0.052,0,0.207,0.069,0.052,0.017,0,0.035,0.017,0.155,0,0.155,12.919
Ovary,1,48.988,0.39,0.512,0.244,0,0,0,0.024,0.024,0,35.845,8.315,2.658,0.024,0.024,0.049,0.098,0.171,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0.122,0,0.098,0.122,0.049,0.024,0,0.024,0,0,0,0,0.049,0,0,0,0,1.975
Ovary,2,15.39,1.017,1.017,1.085,0,0,0,0.068,0,0,56.203,12.339,6.712,0.068,0.068,0,0.136,0.203,0,0.136,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,0.814,0.271,0.136,0.339,0.068,0.136,0.068,0.203,0,0,0,0,0.068,0,0,0,0,2.576
Ovary,3,5.322,9.399,3.76,8.022,0.033,0,0.011,0,0.022,0.055,39.705,9.519,14.383,0.044,0.033,0,0,0.033,0.011,0,0.219,0.033,0,0,0.022,0.022,0.044,0.087,0,0,0,0,0.011,0,0,0,0,0.044,0.448,0.066,0,0.109,0.033,0,0.131,0.066,0,0,0,0,0.087,0,0,0,0,8.23
Ovary,4,2.804,11.869,5.735,17.948,0,0,0.072,0,0.054,0.271,20.879,5.681,13.226,0.072,0.072,0.072,0.036,0.036,0.072,0.036,0.09,0.127,0,0.109,0.036,0,0.163,0.489,0,0,0,0,0.036,0,0,0,0,0.018,0.398,0.036,0,0.163,0.036,0.036,0.145,0.072,0,0.018,0,0,0.018,0,0,0,0,19.07
Ovary,X,15.987,5.97,3.406,8.364,0,0,0.101,0.067,0.101,0.202,10.556,4.958,4.857,0.034,0.034,0.067,0.034,0.101,0.034,0,0.169,0.067,0,0,0,0,0.034,0.236,0,0,0,0.034,0.034,0,0,0,0,0.067,0,0,0,0.101,0,0,0.101,0,0,0,0,0,0,0,0,0,0,44.283
Pancreas,1,16.014,2.132,3.024,12.345,0,0,0.05,0.297,0.198,0.397,6.842,2.132,1.041,0,0.05,0.05,0.05,0,0,2.132,0.099,0.397,0.793,0.248,0.248,2.429,0.198,0.694,0,0,0,0.099,0.05,0,0,0,0,0.446,0,0,0.099,0.099,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,47.248
Pancreas,2,17.142,3.045,2.565,10.717,0,0,0.048,0.144,0.072,0.336,25.006,6.042,3.716,0.048,0,0.024,0.288,0.072,0.192,1.726,0.024,0.216,0.575,0.12,0.12,1.942,0.216,0.551,0,0,0,0,0,0.048,0,0,0,0.983,0.12,0.551,0.144,0.144,0,0.12,0.048,0.048,0.024,0,0,0.024,0,0,0,0,0,22.8
Pancreas,3,5.599,3.833,6.225,27.426,0,0.027,0.082,0.353,0.054,0.924,6.605,1.169,1.468,0,0.027,0,0,0.054,0,2.202,0.054,0.217,0.652,0.571,0.245,6.061,0.462,1.604,0,0,0,0.027,0.054,0,0,0,0,0.299,0.027,0.299,0.027,0.054,0,0.217,0.027,0,0,0,0,0,0,0,0,0,0,33.052
Pancreas,4,0.895,0.3,5.024,23.673,0.011,0.072,0.217,0.056,0.172,1.278,0.233,0.172,0.406,0,0,0.017,0,0.017,0.022,0.044,0.017,0.017,0.044,0.128,0.189,0.183,0.256,1.639,0,0,0,0,0.033,0.011,0,0,0.022,0.011,0,0.028,0,0.006,0,0.006,0,0.011,0,0,0,0,0,0,0,0,0,64.79
Pancreas,X,4.874,1.64,3.505,11.975,0,0.015,0.12,0.451,0.286,0.918,1.986,0.572,0.542,0,0,0,0.015,0,0,0.677,0.045,0.12,0.316,0.256,0.09,2.467,0.165,0.647,0,0,0,0.015,0.03,0,0,0,0,0.15,0,0.015,0,0.015,0.03,0.015,0.015,0.045,0,0,0,0.015,0,0,0,0,0,67.971
Prostate,1,13.11,0.056,0.107,0.125,0.005,0.025,0.048,24.381,2.8,0.155,0.012,0.03,0.019,0,0.008,0.003,0.331,0.047,0.003,0.048,0,0.003,0.129,0.051,0.007,0.049,0,0.011,0.011,0,0,0.138,0.044,0.001,0.012,0,0,0,0,0,0.003,0.001,0,0.003,0.001,0.001,0,0.001,0,0.004,0.001,0,0,0,0,58.217
Prostate,2,35.133,0.041,0.105,0.112,0.005,0.02,0.038,31.79,3.575,0.169,0.026,0.077,0.015,0.008,0.013,0,0.85,0.123,0.02,0.064,0.003,0,0.238,0.056,0.005,0.054,0.003,0.023,0.023,0,0,0.176,0.051,0,0.015,0,0.005,0.005,0,0,0.013,0,0,0.003,0,0.005,0,0,0,0.003,0.005,0,0,0.003,0.003,27.127
Prostate,3,26.174,0.09,0.184,0.552,0.025,0.031,0.075,45.928,4.315,0.464,0.052,0.056,0.09,0.004,0.013,0.01,3.38,0.207,0.021,0.498,0.008,0.006,0.446,0.107,0.01,0.446,0.015,0.121,0.092,0.002,0,0.32,0.1,0.004,0.065,0,0.01,0.015,0,0,0.025,0,0,0.013,0.002,0,0.006,0,0,0.004,0.01,0,0,0,0,16
Prostate,4,3.242,1.505,2.626,18.3,0.021,0.078,1.07,13.057,2.157,6.733,0.072,0.057,0.294,0.003,0,0.024,1.508,0.072,0.036,0.943,0.027,0.321,0.376,0.463,0.535,2.791,0.33,5.21,0.078,0,0.024,0.063,0.114,0.075,0.105,0.018,0.595,0.024,0.003,0.003,0.015,0.003,0,0.054,0.006,0.033,0,0.003,0,0.009,0.003,0,0,0,0.006,36.913
Prostate,X,14.31,0.113,0.558,1.786,0.015,0.03,0.252,18.534,2.201,1.021,0.005,0.035,0.025,0,0.015,0.015,0.503,0.084,0.025,0.168,0.005,0.035,0.163,0.069,0.089,0.316,0.054,0.484,0.035,0,0,0.069,0.044,0.01,0.015,0.015,0.113,0.005,0,0,0.005,0,0,0.01,0,0.005,0,0,0,0,0.01,0,0,0,0.005,58.754
Rectum,1,79.496,0,0.05,0,0,0,0.01,0.08,0.281,0.02,0.993,0.612,0.221,0.02,0.01,0.05,6.099,1.113,0.712,0.05,0,0,0.01,0.08,0,0,0,0,0,0,0,0.02,0.06,0.01,0,0,0,5.818,0.12,0.03,0.702,0.492,0,0.231,0,0.05,0.08,0,0,0.853,0.261,0,0.02,0,0,1.344
Rectum,2,45.406,0.207,0.222,0.177,0,0,0,2.142,0.753,1.3,8.744,2.57,0.635,0.044,0,0.059,4.564,0.812,0.089,4.49,0.074,0.059,0.473,0.547,0.059,0.34,0,0.059,0.148,0,0,0.753,0.369,0.03,0.03,0,0,13.013,0.34,0.074,1.536,1.004,0,0.414,0.074,0.015,0.236,0,0,2.186,0.724,0.015,0.044,0.015,0,5.155
Rectum,3,8.621,0.553,0.381,0.496,0.029,0,0,2.191,0.632,1.401,20.036,4.612,1.02,0.029,0.029,0.014,4.124,0.697,0.079,8.98,0.136,0.165,0.934,0.92,0.065,0.927,0.022,0.302,0.072,0,0.007,0.912,0.56,0.072,0,0,0,27.902,0.568,0.144,2.608,1.695,0.036,0.905,0.043,0.029,0.216,0,0,2.299,0.991,0,0.007,0,0,3.542
Rectum,4,3.064,2.482,4.298,20.965,0.014,0,0.083,1.012,1.109,4.617,4.312,1.581,3.217,0,0.014,0,0.374,0.125,0.111,5.56,0.222,0.776,0.957,1.414,0.763,3.785,0.707,7.335,0.111,0,0.014,0.305,0.25,0.194,0.014,0.014,0.014,6.004,0.125,0.042,0.596,0.527,0.042,1.165,0.069,0.305,0.028,0,0,0.305,0.097,0,0,0,0,20.882
Rectum,X,15.505,0.586,0.879,1.726,0.033,0.033,0.358,2.899,1.368,2.801,2.964,1.368,0.293,0.033,0,0,1.531,0.228,0.13,4.137,0.13,0.13,0.391,0.586,0.065,0.358,0.033,0.847,0.065,0,0,0.554,0.293,0.033,0,0,0,6.287,0.098,0,0.782,0.619,0,0.13,0.033,0.033,0,0,0,0.554,0.195,0,0,0.033,0,50.879
Sarcoma,1,0,0.493,0.493,3.101,0,0,0,14.87,1.973,1.621,0,0,0,0,0,0,0,0,0,0.705,0,0.211,0.07,0.141,0,0.987,0.07,0.705,0,0,0,0.211,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.207
Sarcoma,2,0,4.795,1.308,2.79,0,0.087,0.087,32.52,3.575,1.482,0,0,0,0,0,0,0,0,0,1.308,0.174,0.174,0.349,0.349,0.174,3.139,0,0.697,0.087,0,0,0.436,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.382
Sarcoma,3,0,1.423,1.976,6.403,0,0,0,40.632,4.822,3.004,0,0,0,0,0,0,0,0,0,0.87,0,0.158,1.186,0.079,0.237,7.036,0.158,1.107,0.079,0,0,0.474,0,0.079,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.198
Sarcoma,4,0,1.131,3.864,21.018,0,0.189,0.189,5.467,2.545,10.179,0,0,0,0,0,0,0,0,0,0.754,0,0.283,0.66,1.037,0.943,3.11,0.283,10.273,0,0,0,0,0.094,0.471,0.094,0.094,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.135
Sarcoma,X,0,1.024,2.1,4.968,0.034,0.102,0.171,10.755,1.963,4.046,0,0,0,0,0,0,0,0,0,0.529,0.017,0.222,0.393,0.29,0.341,1.588,0.085,1.536,0.017,0,0,0.068,0.068,0.051,0.051,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.546
Stomach,1,41.53,1.643,1.283,1.232,0.565,0.051,0.154,0.719,0.257,1.745,12.577,2.105,0.719,0.103,0,0,0.257,0.154,0,0.924,0.103,0,0.257,0.257,0.051,0.205,0,0,0.051,0,0,0,0.103,0.051,0,0,0.051,0.359,0.154,0,0.205,0,0,0.051,0,0,0,0,0,0,0.051,0,0,0,0,32.033
Stomach,2,12.804,5.784,3.191,4.906,0.558,0.239,0.12,0.678,0.359,3.47,31.073,6.382,1.755,0.199,0.04,0.04,0.08,0.08,0.04,1.955,0,0.798,0.16,0.439,0.319,0.199,0.04,0.558,0,0,0,0.04,0.08,0.04,0,0,0,1.556,0.558,0.279,0.279,0.04,0,0.12,0.04,0.04,0.04,0.04,0,0.12,0.199,0,0,0,0,20.263
Stomach,3,10.442,9.585,4.043,9.023,0.696,0.08,0.107,0.509,0.455,3.186,27.791,4.9,2.195,0.535,0.107,0.054,0.134,0.08,0.107,2.383,0.187,1.312,0.268,0.643,0.375,0.428,0.107,1.285,0.027,0,0,0,0.08,0.027,0,0.027,0,2.142,0.589,0.214,0.241,0.134,0.027,0.08,0.027,0.027,0.054,0.027,0,0.107,0.107,0,0,0,0,15.047
Stomach,4,1.113,1.637,5.936,31.802,0.154,0.115,0.729,0.256,0.422,4.03,1.573,0.32,0.448,0.013,0.026,0.064,0.013,0.026,0.013,0.205,0.051,0.243,0.064,0.333,0.512,0.217,0.384,4.362,0,0,0,0.013,0.026,0.102,0,0.038,0.026,0.064,0.013,0,0.013,0,0.013,0,0,0.026,0,0,0,0,0,0,0,0,0,44.608
Stomach,X,5.882,1.823,2.706,6.241,0.69,0.387,0.884,0.387,0.525,3.535,5.606,1.16,0.387,0.414,0.11,0.055,0,0.028,0,0.331,0.055,0.138,0.055,0.083,0.249,0.166,0.028,0.58,0.028,0,0,0,0.083,0.055,0,0,0.083,0.166,0.055,0.028,0.055,0,0,0,0.028,0.055,0,0.028,0,0,0.028,0,0,0,0,66.805
Urothelial Tract,1,66.349,0.173,1.474,0.52,0.087,0.347,0.26,0.087,0.173,0.26,0.954,5.204,0.867,0,0.347,0.087,0,0.434,0.173,0.173,0,0,0,0.087,0,0.087,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,21.683
