"Period","Month","Year","Geography level","Geography","Activity level","Breakdown","Breakdown value","Count","Adjusted count"
"Month","September","2020","National","England","Regimens","Tumour group","Lung",7917,7557
"Month","September","2020","National","England","Regimens","Tumour group","Melanoma",2683,2561
"Month","September","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2179,2080
"Month","September","2020","National","England","Regimens","Tumour group","Other cancer",710,678
"Month","September","2020","National","England","Regimens","Tumour group","Other haematology",5329,5087
"Month","September","2020","National","England","Regimens","Tumour group","Prostate",7356,7022
"Month","September","2020","National","England","Regimens","Tumour group","Unknown",862,823
"Month","September","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2883,2752
"Month","September","2020","National","England","Regimens","Tumour group","Urological excl prostate",3821,3647
"Month","October","2020","National","England","Regimens","Tumour group","Bone and soft tissue",855,816
"Month","October","2020","National","England","Regimens","Tumour group","Brain and CNS",1445,1379
"Month","October","2020","National","England","Regimens","Tumour group","Breast",19943,19036
"Month","October","2020","National","England","Regimens","Tumour group","Colorectal",7927,7567
"Month","October","2020","National","England","Regimens","Tumour group","Endocrine",281,268
"Month","October","2020","National","England","Regimens","Tumour group","Gynaecological",5276,5036
"Month","October","2020","National","England","Regimens","Tumour group","Haematological",23558,22487
"Month","October","2020","National","England","Regimens","Tumour group","Head and Neck",850,811
"Month","October","2020","National","England","Regimens","Tumour group","Lung",7968,7606
"Month","October","2020","National","England","Regimens","Tumour group","Melanoma",2683,2561
"Month","October","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2239,2137
"Month","October","2020","National","England","Regimens","Tumour group","Other cancer",720,687
"Month","October","2020","National","England","Regimens","Tumour group","Other haematology",5363,5119
"Month","October","2020","National","England","Regimens","Tumour group","Prostate",7599,7254
"Month","October","2020","National","England","Regimens","Tumour group","Unknown",908,867
"Month","October","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2975,2840
"Month","October","2020","National","England","Regimens","Tumour group","Urological excl prostate",3787,3615
"Month","November","2020","National","England","Regimens","Tumour group","Bone and soft tissue",807,807
"Month","November","2020","National","England","Regimens","Tumour group","Brain and CNS",1514,1514
"Month","November","2020","National","England","Regimens","Tumour group","Breast",19774,19774
"Month","November","2020","National","England","Regimens","Tumour group","Colorectal",8119,8119
"Month","November","2020","National","England","Regimens","Tumour group","Endocrine",279,279
"Month","November","2020","National","England","Regimens","Tumour group","Gynaecological",5379,5379
"Month","November","2020","National","England","Regimens","Tumour group","Haematological",23359,23359
"Month","November","2020","National","England","Regimens","Tumour group","Head and Neck",951,951
"Month","November","2020","National","England","Regimens","Tumour group","Lung",7828,7828
"Month","November","2020","National","England","Regimens","Tumour group","Melanoma",2699,2699
"Month","November","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2279,2279
"Month","November","2020","National","England","Regimens","Tumour group","Other cancer",722,722
"Month","November","2020","National","England","Regimens","Tumour group","Other haematology",5355,5355
"Month","November","2020","National","England","Regimens","Tumour group","Prostate",7792,7792
"Month","November","2020","National","England","Regimens","Tumour group","Unknown",910,910
"Month","November","2020","National","England","Regimens","Tumour group","Upper GI excl OG",2997,2997
"Month","November","2020","National","England","Regimens","Tumour group","Urological excl prostate",3865,3865
"Month","December","2020","National","England","Regimens","Tumour group","Bone and soft tissue",827,827
"Month","December","2020","National","England","Regimens","Tumour group","Brain and CNS",1514,1514
"Month","December","2020","National","England","Regimens","Tumour group","Breast",20384,20384
"Month","December","2020","National","England","Regimens","Tumour group","Colorectal",8077,8077
"Month","December","2020","National","England","Regimens","Tumour group","Endocrine",277,277
"Month","December","2020","National","England","Regimens","Tumour group","Gynaecological",5370,5370
"Month","December","2020","National","England","Regimens","Tumour group","Haematological",23658,23658
"Month","December","2020","National","England","Regimens","Tumour group","Head and Neck",951,951
"Month","December","2020","National","England","Regimens","Tumour group","Lung",7875,7875
"Month","December","2020","National","England","Regimens","Tumour group","Melanoma",2736,2736
"Month","December","2020","National","England","Regimens","Tumour group","Oesophago-gastric",2281,2281
"Month","December","2020","National","England","Regimens","Tumour group","Other cancer",763,763
"Month","December","2020","National","England","Regimens","Tumour group","Other haematology",5413,5413
"Month","December","2020","National","England","Regimens","Tumour group","Prostate",7956,7956
"Month","December","2020","National","England","Regimens","Tumour group","Unknown",874,874
"Month","December","2020","National","England","Regimens","Tumour group","Upper GI excl OG",3016,3016
"Month","December","2020","National","England","Regimens","Tumour group","Urological excl prostate",3963,3963
"Year",NA,"2021","National","England","Regimens","Tumour group","Bone and soft tissue",3389,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Brain and CNS",6974,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Breast",68616,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Colorectal",35303,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Endocrine",1163,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Gynaecological",21599,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Haematological",86676,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Head and Neck",5437,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Lung",29945,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Melanoma",7855,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Oesophago-gastric",11005,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Other cancer",2199,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Other haematology",17383,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Prostate",23698,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Unknown",3690,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Upper GI excl OG",11591,NA
"Year",NA,"2021","National","England","Regimens","Tumour group","Urological excl prostate",14516,NA
"Month","January","2021","National","England","Regimens","Tumour group","Bone and soft tissue",828,869
"Month","January","2021","National","England","Regimens","Tumour group","Brain and CNS",1522,1598
"Month","January","2021","National","England","Regimens","Tumour group","Breast",20020,21021
"Month","January","2021","National","England","Regimens","Tumour group","Colorectal",8401,8821
"Month","January","2021","National","England","Regimens","Tumour group","Endocrine",299,314
"Month","January","2021","National","England","Regimens","Tumour group","Gynaecological",5419,5690
"Month","January","2021","National","England","Regimens","Tumour group","Haematological",22662,23795
"Month","January","2021","National","England","Regimens","Tumour group","Head and Neck",975,1024
"Month","January","2021","National","England","Regimens","Tumour group","Lung",7786,8175
"Month","January","2021","National","England","Regimens","Tumour group","Melanoma",2706,2841
"Month","January","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2313,2429
"Month","January","2021","National","England","Regimens","Tumour group","Other cancer",722,758
"Month","January","2021","National","England","Regimens","Tumour group","Other haematology",5254,5517
"Month","January","2021","National","England","Regimens","Tumour group","Prostate",8093,8498
"Month","January","2021","National","England","Regimens","Tumour group","Unknown",900,945
"Month","January","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3059,3212
"Month","January","2021","National","England","Regimens","Tumour group","Urological excl prostate",3959,4157
"Month","February","2021","National","England","Regimens","Tumour group","Bone and soft tissue",789,828
"Month","February","2021","National","England","Regimens","Tumour group","Brain and CNS",1440,1512
"Month","February","2021","National","England","Regimens","Tumour group","Breast",20217,21228
"Month","February","2021","National","England","Regimens","Tumour group","Colorectal",8712,9148
"Month","February","2021","National","England","Regimens","Tumour group","Endocrine",307,322
"Month","February","2021","National","England","Regimens","Tumour group","Gynaecological",5484,5758
"Month","February","2021","National","England","Regimens","Tumour group","Haematological",22192,23302
"Month","February","2021","National","England","Regimens","Tumour group","Head and Neck",950,998
"Month","February","2021","National","England","Regimens","Tumour group","Lung",7606,7986
"Month","February","2021","National","England","Regimens","Tumour group","Melanoma",2622,2753
"Month","February","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2350,2468
"Month","February","2021","National","England","Regimens","Tumour group","Other cancer",657,690
"Month","February","2021","National","England","Regimens","Tumour group","Other haematology",5226,5487
"Month","February","2021","National","England","Regimens","Tumour group","Prostate",8095,8500
"Month","February","2021","National","England","Regimens","Tumour group","Unknown",864,907
"Month","February","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3151,3309
"Month","February","2021","National","England","Regimens","Tumour group","Urological excl prostate",4006,4206
"Month","March","2021","National","England","Regimens","Tumour group","Bone and soft tissue",879,803
"Month","March","2021","National","England","Regimens","Tumour group","Brain and CNS",1648,1505
"Month","March","2021","National","England","Regimens","Tumour group","Breast",21574,19698
"Month","March","2021","National","England","Regimens","Tumour group","Colorectal",9160,8363
"Month","March","2021","National","England","Regimens","Tumour group","Endocrine",318,290
"Month","March","2021","National","England","Regimens","Tumour group","Gynaecological",5855,5346
"Month","March","2021","National","England","Regimens","Tumour group","Haematological",24895,22730
"Month","March","2021","National","England","Regimens","Tumour group","Head and Neck",1004,917
"Month","March","2021","National","England","Regimens","Tumour group","Lung",8499,7760
"Month","March","2021","National","England","Regimens","Tumour group","Melanoma",2844,2597
"Month","March","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2535,2315
"Month","March","2021","National","England","Regimens","Tumour group","Other cancer",782,714
"Month","March","2021","National","England","Regimens","Tumour group","Other haematology",5804,5299
"Month","March","2021","National","England","Regimens","Tumour group","Prostate",8827,8059
"Month","March","2021","National","England","Regimens","Tumour group","Unknown",929,848
"Month","March","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3399,3103
"Month","March","2021","National","England","Regimens","Tumour group","Urological excl prostate",4296,3922
"Month","April","2021","National","England","Regimens","Tumour group","Bone and soft tissue",842,884
"Month","April","2021","National","England","Regimens","Tumour group","Brain and CNS",1586,1665
"Month","April","2021","National","England","Regimens","Tumour group","Breast",21209,22269
"Month","April","2021","National","England","Regimens","Tumour group","Colorectal",8873,9317
"Month","April","2021","National","England","Regimens","Tumour group","Endocrine",309,324
"Month","April","2021","National","England","Regimens","Tumour group","Gynaecological",5663,5946
"Month","April","2021","National","England","Regimens","Tumour group","Haematological",24263,25476
"Month","April","2021","National","England","Regimens","Tumour group","Head and Neck",947,994
"Month","April","2021","National","England","Regimens","Tumour group","Lung",8402,8822
"Month","April","2021","National","England","Regimens","Tumour group","Melanoma",2795,2935
"Month","April","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2356,2474
"Month","April","2021","National","England","Regimens","Tumour group","Other cancer",769,807
"Month","April","2021","National","England","Regimens","Tumour group","Other haematology",5390,5660
"Month","April","2021","National","England","Regimens","Tumour group","Prostate",8725,9161
"Month","April","2021","National","England","Regimens","Tumour group","Unknown",865,908
"Month","April","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3242,3404
"Month","April","2021","National","England","Regimens","Tumour group","Urological excl prostate",4199,4409
"Month","May","2021","National","England","Regimens","Tumour group","Bone and soft tissue",795,879
"Month","May","2021","National","England","Regimens","Tumour group","Brain and CNS",1501,1659
"Month","May","2021","National","England","Regimens","Tumour group","Breast",20860,23056
"Month","May","2021","National","England","Regimens","Tumour group","Colorectal",8796,9722
"Month","May","2021","National","England","Regimens","Tumour group","Endocrine",304,336
"Month","May","2021","National","England","Regimens","Tumour group","Gynaecological",5531,6113
"Month","May","2021","National","England","Regimens","Tumour group","Haematological",24556,27141
"Month","May","2021","National","England","Regimens","Tumour group","Head and Neck",936,1035
"Month","May","2021","National","England","Regimens","Tumour group","Lung",8338,9216
"Month","May","2021","National","England","Regimens","Tumour group","Melanoma",2649,2928
"Month","May","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2296,2538
"Month","May","2021","National","England","Regimens","Tumour group","Other cancer",768,849
"Month","May","2021","National","England","Regimens","Tumour group","Other haematology",5486,6063
"Month","May","2021","National","England","Regimens","Tumour group","Prostate",8712,9629
"Month","May","2021","National","England","Regimens","Tumour group","Unknown",882,975
"Month","May","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3203,3540
"Month","May","2021","National","England","Regimens","Tumour group","Urological excl prostate",4180,4620
"Month","June","2021","National","England","Regimens","Tumour group","Bone and soft tissue",824,787
"Month","June","2021","National","England","Regimens","Tumour group","Brain and CNS",1567,1496
"Month","June","2021","National","England","Regimens","Tumour group","Breast",21700,20714
"Month","June","2021","National","England","Regimens","Tumour group","Colorectal",9179,8762
"Month","June","2021","National","England","Regimens","Tumour group","Endocrine",298,284
"Month","June","2021","National","England","Regimens","Tumour group","Gynaecological",5781,5518
"Month","June","2021","National","England","Regimens","Tumour group","Haematological",26063,24878
"Month","June","2021","National","England","Regimens","Tumour group","Head and Neck",1010,964
"Month","June","2021","National","England","Regimens","Tumour group","Lung",8729,8332
"Month","June","2021","National","England","Regimens","Tumour group","Melanoma",2761,2636
"Month","June","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2385,2277
"Month","June","2021","National","England","Regimens","Tumour group","Other cancer",838,800
"Month","June","2021","National","England","Regimens","Tumour group","Other haematology",5830,5565
"Month","June","2021","National","England","Regimens","Tumour group","Prostate",9163,8746
"Month","June","2021","National","England","Regimens","Tumour group","Unknown",907,866
"Month","June","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3314,3163
"Month","June","2021","National","England","Regimens","Tumour group","Urological excl prostate",4331,4134
"Month","July","2021","National","England","Regimens","Tumour group","Bone and soft tissue",807,770
"Month","July","2021","National","England","Regimens","Tumour group","Brain and CNS",1545,1475
"Month","July","2021","National","England","Regimens","Tumour group","Breast",21550,20570
"Month","July","2021","National","England","Regimens","Tumour group","Colorectal",9213,8794
"Month","July","2021","National","England","Regimens","Tumour group","Endocrine",298,284
"Month","July","2021","National","England","Regimens","Tumour group","Gynaecological",5821,5556
"Month","July","2021","National","England","Regimens","Tumour group","Haematological",25822,24648
"Month","July","2021","National","England","Regimens","Tumour group","Head and Neck",970,926
"Month","July","2021","National","England","Regimens","Tumour group","Lung",8703,8307
"Month","July","2021","National","England","Regimens","Tumour group","Melanoma",2735,2611
"Month","July","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2374,2266
"Month","July","2021","National","England","Regimens","Tumour group","Other cancer",821,784
"Month","July","2021","National","England","Regimens","Tumour group","Other haematology",5732,5471
"Month","July","2021","National","England","Regimens","Tumour group","Prostate",9418,8990
"Month","July","2021","National","England","Regimens","Tumour group","Unknown",919,877
"Month","July","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3340,3188
"Month","July","2021","National","England","Regimens","Tumour group","Urological excl prostate",4348,4150
"Month","August","2021","National","England","Regimens","Tumour group","Bone and soft tissue",787,787
"Month","August","2021","National","England","Regimens","Tumour group","Brain and CNS",1448,1448
"Month","August","2021","National","England","Regimens","Tumour group","Breast",21260,21260
"Month","August","2021","National","England","Regimens","Tumour group","Colorectal",9176,9176
"Month","August","2021","National","England","Regimens","Tumour group","Endocrine",288,288
"Month","August","2021","National","England","Regimens","Tumour group","Gynaecological",5763,5763
"Month","August","2021","National","England","Regimens","Tumour group","Haematological",25335,25335
"Month","August","2021","National","England","Regimens","Tumour group","Head and Neck",963,963
"Month","August","2021","National","England","Regimens","Tumour group","Lung",8526,8526
"Month","August","2021","National","England","Regimens","Tumour group","Melanoma",2638,2638
"Month","August","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2367,2367
"Month","August","2021","National","England","Regimens","Tumour group","Other cancer",815,815
"Month","August","2021","National","England","Regimens","Tumour group","Other haematology",5633,5633
"Month","August","2021","National","England","Regimens","Tumour group","Prostate",9325,9325
"Month","August","2021","National","England","Regimens","Tumour group","Unknown",896,896
"Month","August","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3215,3215
"Month","August","2021","National","England","Regimens","Tumour group","Urological excl prostate",4241,4241
"Month","September","2021","National","England","Regimens","Tumour group","Bone and soft tissue",835,797
"Month","September","2021","National","England","Regimens","Tumour group","Brain and CNS",1456,1390
"Month","September","2021","National","England","Regimens","Tumour group","Breast",21679,20694
"Month","September","2021","National","England","Regimens","Tumour group","Colorectal",9373,8947
"Month","September","2021","National","England","Regimens","Tumour group","Endocrine",320,305
"Month","September","2021","National","England","Regimens","Tumour group","Gynaecological",5946,5676
"Month","September","2021","National","England","Regimens","Tumour group","Haematological",26125,24938
"Month","September","2021","National","England","Regimens","Tumour group","Head and Neck",984,939
"Month","September","2021","National","England","Regimens","Tumour group","Lung",8815,8414
"Month","September","2021","National","England","Regimens","Tumour group","Melanoma",2712,2589
"Month","September","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2447,2336
"Month","September","2021","National","England","Regimens","Tumour group","Other cancer",819,782
"Month","September","2021","National","England","Regimens","Tumour group","Other haematology",5849,5583
"Month","September","2021","National","England","Regimens","Tumour group","Prostate",9466,9036
"Month","September","2021","National","England","Regimens","Tumour group","Unknown",907,866
"Month","September","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3260,3112
"Month","September","2021","National","England","Regimens","Tumour group","Urological excl prostate",4326,4129
"Month","October","2021","National","England","Regimens","Tumour group","Bone and soft tissue",819,819
"Month","October","2021","National","England","Regimens","Tumour group","Brain and CNS",1459,1459
"Month","October","2021","National","England","Regimens","Tumour group","Breast",21635,21635
"Month","October","2021","National","England","Regimens","Tumour group","Colorectal",9172,9172
"Month","October","2021","National","England","Regimens","Tumour group","Endocrine",315,315
"Month","October","2021","National","England","Regimens","Tumour group","Gynaecological",5930,5930
"Month","October","2021","National","England","Regimens","Tumour group","Haematological",25491,25491
"Month","October","2021","National","England","Regimens","Tumour group","Head and Neck",989,989
"Month","October","2021","National","England","Regimens","Tumour group","Lung",8660,8660
"Month","October","2021","National","England","Regimens","Tumour group","Melanoma",2641,2641
"Month","October","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2463,2463
"Month","October","2021","National","England","Regimens","Tumour group","Other cancer",825,825
"Month","October","2021","National","England","Regimens","Tumour group","Other haematology",5821,5821
"Month","October","2021","National","England","Regimens","Tumour group","Prostate",9421,9421
"Month","October","2021","National","England","Regimens","Tumour group","Unknown",906,906
"Month","October","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3240,3240
"Month","October","2021","National","England","Regimens","Tumour group","Urological excl prostate",4231,4231
"Month","November","2021","National","England","Regimens","Tumour group","Bone and soft tissue",865,826
"Month","November","2021","National","England","Regimens","Tumour group","Brain and CNS",1548,1478
"Month","November","2021","National","England","Regimens","Tumour group","Breast",21879,20884
"Month","November","2021","National","England","Regimens","Tumour group","Colorectal",9407,8979
"Month","November","2021","National","England","Regimens","Tumour group","Endocrine",324,309
"Month","November","2021","National","England","Regimens","Tumour group","Gynaecological",6045,5770
"Month","November","2021","National","England","Regimens","Tumour group","Haematological",25871,24695
"Month","November","2021","National","England","Regimens","Tumour group","Head and Neck",1035,988
"Month","November","2021","National","England","Regimens","Tumour group","Lung",8859,8456
"Month","November","2021","National","England","Regimens","Tumour group","Melanoma",2864,2734
"Month","November","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2518,2404
"Month","November","2021","National","England","Regimens","Tumour group","Other cancer",825,788
"Month","November","2021","National","England","Regimens","Tumour group","Other haematology",5946,5676
"Month","November","2021","National","England","Regimens","Tumour group","Prostate",9741,9298
"Month","November","2021","National","England","Regimens","Tumour group","Unknown",967,923
"Month","November","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3325,3174
"Month","November","2021","National","England","Regimens","Tumour group","Urological excl prostate",4348,4150
"Month","December","2021","National","England","Regimens","Tumour group","Bone and soft tissue",831,831
"Month","December","2021","National","England","Regimens","Tumour group","Brain and CNS",1415,1415
"Month","December","2021","National","England","Regimens","Tumour group","Breast",22023,22023
"Month","December","2021","National","England","Regimens","Tumour group","Colorectal",9215,9215
"Month","December","2021","National","England","Regimens","Tumour group","Endocrine",331,331
"Month","December","2021","National","England","Regimens","Tumour group","Gynaecological",5946,5946
"Month","December","2021","National","England","Regimens","Tumour group","Haematological",25457,25457
"Month","December","2021","National","England","Regimens","Tumour group","Head and Neck",1010,1010
"Month","December","2021","National","England","Regimens","Tumour group","Lung",8796,8796
"Month","December","2021","National","England","Regimens","Tumour group","Melanoma",2783,2783
"Month","December","2021","National","England","Regimens","Tumour group","Oesophago-gastric",2421,2421
"Month","December","2021","National","England","Regimens","Tumour group","Other cancer",825,825
"Month","December","2021","National","England","Regimens","Tumour group","Other haematology",5751,5751
"Month","December","2021","National","England","Regimens","Tumour group","Prostate",9708,9708
"Month","December","2021","National","England","Regimens","Tumour group","Unknown",917,917
"Month","December","2021","National","England","Regimens","Tumour group","Upper GI excl OG",3211,3211
"Month","December","2021","National","England","Regimens","Tumour group","Urological excl prostate",4397,4397
"Year",NA,"2022","National","England","Regimens","Tumour group","Bone and soft tissue",3459,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Brain and CNS",6876,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Breast",70609,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Colorectal",36099,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Endocrine",1228,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Gynaecological",22678,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Haematological",91762,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Head and Neck",5562,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Lung",31798,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Melanoma",8329,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Oesophago-gastric",11814,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Other cancer",2389,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Other haematology",18005,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Prostate",26396,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Unknown",3976,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Upper GI excl OG",12132,NA
"Year",NA,"2022","National","England","Regimens","Tumour group","Urological excl prostate",15191,NA
"Month","January","2022","National","England","Regimens","Tumour group","Bone and soft tissue",836,878
"Month","January","2022","National","England","Regimens","Tumour group","Brain and CNS",1537,1614
"Month","January","2022","National","England","Regimens","Tumour group","Breast",21779,22868
"Month","January","2022","National","England","Regimens","Tumour group","Colorectal",9329,9795
"Month","January","2022","National","England","Regimens","Tumour group","Endocrine",341,358
"Month","January","2022","National","England","Regimens","Tumour group","Gynaecological",5951,6249
"Month","January","2022","National","England","Regimens","Tumour group","Haematological",25340,26607
"Month","January","2022","National","England","Regimens","Tumour group","Head and Neck",996,1046
"Month","January","2022","National","England","Regimens","Tumour group","Lung",8695,9130
"Month","January","2022","National","England","Regimens","Tumour group","Melanoma",2872,3016
"Month","January","2022","National","England","Regimens","Tumour group","Oesophago-gastric",2391,2511
"Month","January","2022","National","England","Regimens","Tumour group","Other cancer",842,884
"Month","January","2022","National","England","Regimens","Tumour group","Other haematology",5744,6031
"Month","January","2022","National","England","Regimens","Tumour group","Prostate",9679,10163
"Month","January","2022","National","England","Regimens","Tumour group","Unknown",943,990
"Month","January","2022","National","England","Regimens","Tumour group","Upper GI excl OG",3267,3430
"Month","January","2022","National","England","Regimens","Tumour group","Urological excl prostate",4284,4498
"Month","February","2022","National","England","Regimens","Tumour group","Bone and soft tissue",836,878
"Month","February","2022","National","England","Regimens","Tumour group","Brain and CNS",1451,1524
"Month","February","2022","National","England","Regimens","Tumour group","Breast",21719,22805
"Month","February","2022","National","England","Regimens","Tumour group","Colorectal",9239,9701
"Month","February","2022","National","England","Regimens","Tumour group","Endocrine",327,343
"Month","February","2022","National","England","Regimens","Tumour group","Gynaecological",5792,6082
"Month","February","2022","National","England","Regimens","Tumour group","Haematological",24975,26224
"Month","February","2022","National","England","Regimens","Tumour group","Head and Neck",971,1020
"Month","February","2022","National","England","Regimens","Tumour group","Lung",8581,9010
"Month","February","2022","National","England","Regimens","Tumour group","Melanoma",2746,2883
"Month","February","2022","National","England","Regimens","Tumour group","Oesophago-gastric",2390,2510
"Month","February","2022","National","England","Regimens","Tumour group","Other cancer",777,816
"Month","February","2022","National","England","Regimens","Tumour group","Other haematology",5504,5779
"Month","February","2022","National","England","Regimens","Tumour group","Prostate",9430,9902
"Month","February","2022","National","England","Regimens","Tumour group","Unknown",929,975
"Month","February","2022","National","England","Regimens","Tumour group","Upper GI excl OG",3207,3367
"Month","February","2022","National","England","Regimens","Tumour group","Urological excl prostate",4354,4572
"Month","March","2022","National","England","Regimens","Tumour group","Bone and soft tissue",881,804
"Month","March","2022","National","England","Regimens","Tumour group","Brain and CNS",1507,1376
"Month","March","2022","National","England","Regimens","Tumour group","Breast",22596,20631
"Month","March","2022","National","England","Regimens","Tumour group","Colorectal",9734,8888
"Month","March","2022","National","England","Regimens","Tumour group","Endocrine",344,314
"Month","March","2022","National","England","Regimens","Tumour group","Gynaecological",6187,5649
"Month","March","2022","National","England","Regimens","Tumour group","Haematological",26573,24262
"Month","March","2022","National","England","Regimens","Tumour group","Head and Neck",1047,956
"Month","March","2022","National","England","Regimens","Tumour group","Lung",9019,8235
"Month","March","2022","National","England","Regimens","Tumour group","Melanoma",2849,2601
"Month","March","2022","National","England","Regimens","Tumour group","Oesophago-gastric",2593,2368
"Month","March","2022","National","England","Regimens","Tumour group","Other cancer",830,758
"Month","March","2022","National","England","Regimens","Tumour group","Other haematology",5964,5445
"Month","March","2022","National","England","Regimens","Tumour group","Prostate",10061,9186
"Month","March","2022","National","England","Regimens","Tumour group","Unknown",982,897
"Month","March","2022","National","England","Regimens","Tumour group","Upper GI excl OG",3396,3101
"Month","March","2022","National","England","Regimens","Tumour group","Urological excl prostate",4592,4193
"Month","April","2022","National","England","Regimens","Tumour group","Bone and soft tissue",834,922
"Month","April","2022","National","England","Regimens","Tumour group","Brain and CNS",1481,1637
"Month","April","2022","National","England","Regimens","Tumour group","Breast",22068,24391
"Month","April","2022","National","England","Regimens","Tumour group","Colorectal",9447,10441
"Month","April","2022","National","England","Regimens","Tumour group","Endocrine",348,385
"Month","April","2022","National","England","Regimens","Tumour group","Gynaecological",6054,6691
"Month","April","2022","National","England","Regimens","Tumour group","Haematological",25663,28364
"Month","April","2022","National","England","Regimens","Tumour group","Head and Neck",981,1084
"Month","April","2022","National","England","Regimens","Tumour group","Lung",8772,9695
"Month","April","2022","National","England","Regimens","Tumour group","Melanoma",2856,3157
"Month","April","2022","National","England","Regimens","Tumour group","Oesophago-gastric",2521,2786
"Month","April","2022","National","England","Regimens","Tumour group","Other cancer",800,884
"Month","April","2022","National","England","Regimens","Tumour group","Other haematology",5659,6255
"Month","April","2022","National","England","Regimens","Tumour group","Prostate",10050,11108
"Month","April","2022","National","England","Regimens","Tumour group","Unknown",934,1032
"Month","April","2022","National","England","Regimens","Tumour group","Upper GI excl OG",3237,3578
"Month","April","2022","National","England","Regimens","Tumour group","Urological excl prostate",4481,4953
"Month","May","2022","National","England","Regimens","Tumour group","Bone and soft tissue",841,841
"Month","May","2022","National","England","Regimens","Tumour group","Brain and CNS",1507,1507
"Month","May","2022","National","England","Regimens","Tumour group","Breast",22153,22153
"Month","May","2022","National","England","Regimens","Tumour group","Colorectal",9562,9562
"Month","May","2022","National","England","Regimens","Tumour group","Endocrine",337,337
"Month","May","2022","National","England","Regimens","Tumour group","Gynaecological",6235,6235
"Month","May","2022","National","England","Regimens","Tumour group","Haematological",26697,26697
"Month","May","2022","National","England","Regimens","Tumour group","Head and Neck",1029,1029
"Month","May","2022","National","England","Regimens","Tumour group","Lung",8816,8816
"Month","May","2022","National","England","Regimens","Tumour group","Melanoma",2809,2809
"Month","May","2022","National","England","Regimens","Tumour group","Oesophago-gastric",2580,2580
"Month","May","2022","National","England","Regimens","Tumour group","Other cancer",804,804
"Month","May","2022","National","England","Regimens","Tumour group","Other haematology",6013,6013
"Month","May","2022","National","England","Regimens","Tumour group","Prostate",10148,10148
"Month","May","2022","National","England","Regimens","Tumour group","Unknown",985,985
"Month","May","2022","National","England","Regimens","Tumour group","Upper GI excl OG",3287,3287
"Month","May","2022","National","England","Regimens","Tumour group","Urological excl prostate",4510,4510
