cancer_type,cost_outcome,Stage,absolute_average,absolute_conf_low,absolute_conf_high
Oesophageal,Continuing phase (3-4 years),III,1866.5,1250.7,2482.4
Oesophageal,Continuing phase (3-4 years),IV,3124.3,2081.5,4167.2
Oesophageal,Continuing phase (3-4 years),Missing/Unknown,1879.9,1105,2654.7
Ovarian,Continuing phase (3-4 years),I,984.3,745.1,1223.5
Ovarian,Continuing phase (3-4 years),II,2908,2262,3553.9
Ovarian,Continuing phase (3-4 years),III,5844.4,5378.1,6310.8
Ovarian,Continuing phase (3-4 years),IV,6229.7,5571.4,6888
Ovarian,Continuing phase (3-4 years),Missing/Unknown,2326.1,1714.6,2937.5
Pancreatic,Continuing phase (3-4 years),I,1881.6,1013.9,2749.4
Pancreatic,Continuing phase (3-4 years),II,2742.7,1339.7,4145.7
Pancreatic,Continuing phase (3-4 years),III,2874.4,1053.5,4695.4
Pancreatic,Continuing phase (3-4 years),IV,4755.2,3146.3,6364.1
Pancreatic,Continuing phase (3-4 years),Missing/Unknown,2231.5,817.1,3645.8
Colorectal,Continuing phase (4-5 years),I,1218.5,1083.4,1353.5
Colorectal,Continuing phase (4-5 years),II,1357.2,1129.9,1584.4
Colorectal,Continuing phase (4-5 years),III,1680.2,1452.6,1907.7
Colorectal,Continuing phase (4-5 years),IV,3856.6,3473.2,4240
Colorectal,Continuing phase (4-5 years),Missing/Unknown,1423.9,1095.3,1752.5
Head and neck,Continuing phase (4-5 years),I,1465.2,1217.6,1712.7
Head and neck,Continuing phase (4-5 years),II,1522,1030,2013.9
Head and neck,Continuing phase (4-5 years),III,1529.1,1028.5,2029.7
Head and neck,Continuing phase (4-5 years),IV,1479,1068.5,1889.6
Head and neck,Continuing phase (4-5 years),Missing/Unknown,1878.3,1385.8,2370.7
Liver,Continuing phase (4-5 years),I,2271.3,1133.2,3409.4
Liver,Continuing phase (4-5 years),II,1676.1,-357.3,3709.5
Liver,Continuing phase (4-5 years),III,2769.7,-141.9,5681.3
Liver,Continuing phase (4-5 years),IV,1361.4,-1492.9,4215.7
Liver,Continuing phase (4-5 years),Missing/Unknown,3027.3,1256.9,4797.7
Lung,Continuing phase (4-5 years),I,2060.1,1821.8,2298.3
Lung,Continuing phase (4-5 years),II,2442.5,1886.1,2998.9
Lung,Continuing phase (4-5 years),III,3009.6,2448.6,3570.5
Lung,Continuing phase (4-5 years),IV,5673.2,4960.4,6385.9
Lung,Continuing phase (4-5 years),Missing/Unknown,2531.2,1700.5,3361.8
Lymphoma,Continuing phase (4-5 years),I,1598,1253.8,1942.3
Lymphoma,Continuing phase (4-5 years),II,2070.1,1434.5,2705.7
Lymphoma,Continuing phase (4-5 years),III,2259.1,1643.7,2874.4
Lymphoma,Continuing phase (4-5 years),IV,2730,2179.9,3280.1
Lymphoma,Continuing phase (4-5 years),Missing/Unknown,2572.3,1969,3175.5
Oesophageal,Continuing phase (4-5 years),I,1329.7,855.8,1803.5
Oesophageal,Continuing phase (4-5 years),II,1730.1,877.8,2582.5
Oesophageal,Continuing phase (4-5 years),III,1827.8,1018.4,2637.2
Oesophageal,Continuing phase (4-5 years),IV,1331.4,-55.7,2718.6
Oesophageal,Continuing phase (4-5 years),Missing/Unknown,1537.3,515.2,2559.5
Ovarian,Continuing phase (4-5 years),I,907.9,629.2,1186.5
Ovarian,Continuing phase (4-5 years),II,2247.2,1461.5,3032.9
Ovarian,Continuing phase (4-5 years),III,5058,4482.1,5633.8
Ovarian,Continuing phase (4-5 years),IV,5196.8,4340.6,6052.9
Ovarian,Continuing phase (4-5 years),Missing/Unknown,2332.9,1625.4,3040.3
Pancreatic,Continuing phase (4-5 years),I,1483.6,517.5,2449.7
Pancreatic,Continuing phase (4-5 years),II,2036.7,454.4,3619
Pancreatic,Continuing phase (4-5 years),III,2666.9,485.7,4848.2
Pancreatic,Continuing phase (4-5 years),IV,4175.9,2357.8,5993.9
Pancreatic,Continuing phase (4-5 years),Missing/Unknown,1383.6,-181.6,2948.9
Colorectal,Continuing phase (5-6 years),I,-431.5,-471.1,-391.9
Colorectal,Continuing phase (5-6 years),II,-471.4,-538,-404.7
Colorectal,Continuing phase (5-6 years),III,-397.1,-464.3,-330
Colorectal,Continuing phase (5-6 years),IV,-253.8,-370.1,-137.4
Colorectal,Continuing phase (5-6 years),Missing/Unknown,-488,-577.4,-398.5
Head and neck,Continuing phase (5-6 years),I,-535.8,-614.4,-457.1
Head and neck,Continuing phase (5-6 years),II,-552.9,-710.7,-395.2
Head and neck,Continuing phase (5-6 years),III,-520.4,-682.5,-358.3
Head and neck,Continuing phase (5-6 years),IV,-526.5,-658,-395
Head and neck,Continuing phase (5-6 years),Missing/Unknown,-531.2,-680.4,-382
Liver,Continuing phase (5-6 years),I,-1018.1,-1527.3,-508.9
Liver,Continuing phase (5-6 years),II,-766.8,-1706.4,172.9
Liver,Continuing phase (5-6 years),III,-4.1,-1276.4,1268.2
Liver,Continuing phase (5-6 years),IV,-1004.7,-2320.6,311.2
Liver,Continuing phase (5-6 years),Missing/Unknown,-895.9,-1673,-118.9
Lung,Continuing phase (5-6 years),I,252.9,118.2,387.7
Lung,Continuing phase (5-6 years),II,452.9,135.8,770
Lung,Continuing phase (5-6 years),III,694,372.4,1015.6
Lung,Continuing phase (5-6 years),IV,1617.3,1220.2,2014.4
Lung,Continuing phase (5-6 years),Missing/Unknown,299,-137.6,735.6
Lymphoma,Continuing phase (5-6 years),I,-513.6,-610.5,-416.8
Lymphoma,Continuing phase (5-6 years),II,-514.9,-694,-335.7
Lymphoma,Continuing phase (5-6 years),III,-368.1,-542.5,-193.6
Lymphoma,Continuing phase (5-6 years),IV,-344.7,-500.3,-189
Lymphoma,Continuing phase (5-6 years),Missing/Unknown,-426.7,-592.7,-260.8
Oesophageal,Continuing phase (5-6 years),I,-552,-679.7,-424.4
Oesophageal,Continuing phase (5-6 years),II,-353.9,-583.9,-123.9
Oesophageal,Continuing phase (5-6 years),III,-553.4,-771.2,-335.7
Oesophageal,Continuing phase (5-6 years),IV,-548.5,-953.5,-143.6
Oesophageal,Continuing phase (5-6 years),Missing/Unknown,-635.8,-910,-361.6
Ovarian,Continuing phase (5-6 years),I,-332.4,-468.6,-196.2
Ovarian,Continuing phase (5-6 years),II,35.5,-363,434
Ovarian,Continuing phase (5-6 years),III,714.9,414.9,1014.9
Ovarian,Continuing phase (5-6 years),IV,533.7,89.9,977.5
Ovarian,Continuing phase (5-6 years),Missing/Unknown,-182.2,-511.3,147
Pancreatic,Continuing phase (5-6 years),I,-511.1,-850.1,-172
Pancreatic,Continuing phase (5-6 years),II,-486.6,-1054.8,81.6
Pancreatic,Continuing phase (5-6 years),III,-636.8,-1369.4,95.8
Pancreatic,Continuing phase (5-6 years),IV,-170.8,-828.3,486.7
Pancreatic,Continuing phase (5-6 years),Missing/Unknown,-567,-1116,-18.1
Colorectal,Diagnosis phase,I,657.6,609.4,705.8
Colorectal,Diagnosis phase,II,968.5,888.4,1048.6
Colorectal,Diagnosis phase,III,863.2,785.1,941.2
Colorectal,Diagnosis phase,IV,1222.2,1142.1,1302.4
Colorectal,Diagnosis phase,Missing/Unknown,1884.2,1783.4,1984.9
Head and neck,Diagnosis phase,I,474.1,394.1,554.2
Head and neck,Diagnosis phase,II,738.5,586.7,890.2
Head and neck,Diagnosis phase,III,834.9,684.7,985.1
Head and neck,Diagnosis phase,IV,865.4,741.9,988.9
Head and neck,Diagnosis phase,Missing/Unknown,1187.9,1034.8,1340.9
Liver,Diagnosis phase,I,1956.5,1660.9,2252
Liver,Diagnosis phase,II,1812,1314,2310
Liver,Diagnosis phase,III,1956.7,1441.3,2472.2
Liver,Diagnosis phase,IV,2106.1,1657.6,2554.7
Liver,Diagnosis phase,Missing/Unknown,2239.4,1804.4,2674.4
Lung,Diagnosis phase,I,2646.2,2589.6,2702.7
Lung,Diagnosis phase,II,2210.8,2094.1,2327.5
Lung,Diagnosis phase,III,1921.7,1826.1,2017.3
Lung,Diagnosis phase,IV,1922.7,1835.7,2009.7
Lung,Diagnosis phase,Missing/Unknown,2579.5,2449.4,2709.5
Lymphoma,Diagnosis phase,I,1626.1,1506.7,1745.5
Lymphoma,Diagnosis phase,II,1711.4,1493,1929.8
Lymphoma,Diagnosis phase,III,1770.2,1565.7,1974.7
Lymphoma,Diagnosis phase,IV,2194.5,2009.6,2379.3
Lymphoma,Diagnosis phase,Missing/Unknown,2372.9,2167.9,2578
Oesophageal,Diagnosis phase,I,1184.4,1045.7,1323
Oesophageal,Diagnosis phase,II,671.4,441.2,901.7
Oesophageal,Diagnosis phase,III,672.8,462.1,883.5
Oesophageal,Diagnosis phase,IV,898.3,687.8,1108.8
Oesophageal,Diagnosis phase,Missing/Unknown,1856.6,1617.3,2095.9
Ovarian,Diagnosis phase,I,1317,1234.8,1399.3
Ovarian,Diagnosis phase,II,1305.6,1101.2,1510
Ovarian,Diagnosis phase,III,1405.2,1269.6,1540.7
Ovarian,Diagnosis phase,IV,1515.1,1366.4,1663.9
Ovarian,Diagnosis phase,Missing/Unknown,1715.3,1548.5,1882.1
Pancreatic,Diagnosis phase,I,2293.6,2052.8,2534.4
Pancreatic,Diagnosis phase,II,2287.3,1915.8,2658.9
Pancreatic,Diagnosis phase,III,2055.1,1672.4,2437.9
Pancreatic,Diagnosis phase,IV,1815.2,1466.5,2163.8
Pancreatic,Diagnosis phase,Missing/Unknown,2679,2315.7,3042.3
Colorectal,End of life phase,I,16508.1,15866.2,17150
Colorectal,End of life phase,II,18420.6,17409.3,19432
Colorectal,End of life phase,III,20278,19313.2,21242.8
Colorectal,End of life phase,IV,19760.8,18820,20701.5
Colorectal,End of life phase,Missing/Unknown,14743.2,13696,15790.4
Head and neck,End of life phase,I,17591,16511.9,18670.1
Head and neck,End of life phase,II,20767.6,18882.2,22653
Head and neck,End of life phase,III,21746,19936.8,23555.2
Head and neck,End of life phase,IV,22186.8,20604.3,23769.2
Head and neck,End of life phase,Missing/Unknown,16845.7,15058.2,18633.2
Liver,End of life phase,I,16634.6,15557.6,17711.5
Liver,End of life phase,II,15294.4,13531.6,17057.2
Liver,End of life phase,III,13755.9,12006.4,15505.5
Liver,End of life phase,IV,14596.7,13008.2,16185.2
Liver,End of life phase,Missing/Unknown,13422.9,11861.4,14984.4
Lung,End of life phase,I,14892.2,14637.6,15146.8
Lung,End of life phase,II,16272.7,15792.9,16752.5
Lung,End of life phase,III,16063.5,15665,16462.1
Lung,End of life phase,IV,13885,13508.9,14261.1
Lung,End of life phase,Missing/Unknown,9452.8,8962.3,9943.3
Lymphoma,End of life phase,I,24082.5,22751,25414
Lymphoma,End of life phase,II,26547.1,24176.6,28917.7
Lymphoma,End of life phase,III,27610.3,25459.1,29761.6
Lymphoma,End of life phase,IV,29782.8,27797.6,31768.1
Lymphoma,End of life phase,Missing/Unknown,21163.1,19041.6,23284.6
Oesophageal,End of life phase,I,18927,18094.4,19759.5
Oesophageal,End of life phase,II,19986.1,18666.7,21305.5
Oesophageal,End of life phase,III,21050.9,19822.8,22279
Oesophageal,End of life phase,IV,16174.1,14953.5,17394.8
Oesophageal,End of life phase,Missing/Unknown,15225.2,13896.3,16554
Ovarian,End of life phase,I,17091.2,15826.9,18355.5
Ovarian,End of life phase,II,19871.9,17461.6,22282.1
Ovarian,End of life phase,III,23835.1,21991.6,25678.6
Ovarian,End of life phase,IV,23916.9,22045.7,25788.1
Ovarian,End of life phase,Missing/Unknown,16873.3,14895.8,18850.7
Pancreatic,End of life phase,I,20214.5,19299.9,21129.2
Pancreatic,End of life phase,II,22248.4,20852.8,23644
Pancreatic,End of life phase,III,20657,19239.5,22074.6
Pancreatic,End of life phase,IV,13390.3,12074.3,14706.4
Pancreatic,End of life phase,Missing/Unknown,15544.7,14182.9,16906.6
Colorectal,Initial phase (0-1 years),I,12734,12548,12920.1
Colorectal,Initial phase (0-1 years),II,17042.9,16732.3,17353.5
Colorectal,Initial phase (0-1 years),III,22567.9,22263.9,22871.9
Colorectal,Initial phase (0-1 years),IV,26510.3,26159.3,26861.3
Colorectal,Initial phase (0-1 years),Missing/Unknown,12436.7,12004.8,12868.6
Head and neck,Initial phase (0-1 years),I,11819.4,11472,12166.7
Head and neck,Initial phase (0-1 years),II,18322,17656.5,18987.5
Head and neck,Initial phase (0-1 years),III,24696.9,24029.4,25364.3
Head and neck,Initial phase (0-1 years),IV,27298.2,26746.5,27849.8
Head and neck,Initial phase (0-1 years),Missing/Unknown,15238.9,14529.4,15948.5
Liver,Initial phase (0-1 years),I,13901.2,13038.3,14764
Liver,Initial phase (0-1 years),II,15279.6,13796.3,16762.9
Liver,Initial phase (0-1 years),III,14505.2,12768.4,16242
Liver,Initial phase (0-1 years),IV,15867.3,14340.9,17393.7
Liver,Initial phase (0-1 years),Missing/Unknown,12625.7,11309.5,13941.9
Lung,Initial phase (0-1 years),I,13019.8,12860.4,13179.2
Lung,Initial phase (0-1 years),II,16461.9,16116.6,16807.3
Lung,Initial phase (0-1 years),III,16285.6,15986.9,16584.4
Lung,Initial phase (0-1 years),IV,15847.3,15543.5,16151.1
Lung,Initial phase (0-1 years),Missing/Unknown,10168.7,9641.4,10696
Lymphoma,Initial phase (0-1 years),I,15060.7,14553.2,15568.2
Lymphoma,Initial phase (0-1 years),II,19886.2,18951.3,20821.2
Lymphoma,Initial phase (0-1 years),III,19759.7,18878,20641.4
Lymphoma,Initial phase (0-1 years),IV,24450.6,23652.8,25248.4
Lymphoma,Initial phase (0-1 years),Missing/Unknown,13533.6,12636.8,14430.4
Oesophageal,Initial phase (0-1 years),I,17984.1,17403.4,18564.8
Oesophageal,Initial phase (0-1 years),II,22453.9,21468.4,23439.3
Oesophageal,Initial phase (0-1 years),III,20702.1,19792.8,21611.3
Oesophageal,Initial phase (0-1 years),IV,12316.3,11291.2,13341.3
Oesophageal,Initial phase (0-1 years),Missing/Unknown,13076.6,11929.8,14223.3
Ovarian,Initial phase (0-1 years),I,12027,11687.5,12366.5
Ovarian,Initial phase (0-1 years),II,18758.2,17894.4,19621.9
Ovarian,Initial phase (0-1 years),III,24623.7,24044.3,25203
Ovarian,Initial phase (0-1 years),IV,27376.4,26693.4,28059.3
Ovarian,Initial phase (0-1 years),Missing/Unknown,13882.9,13100.2,14665.5
Pancreatic,Initial phase (0-1 years),I,17381.7,16318.9,18444.6
Pancreatic,Initial phase (0-1 years),II,25840.4,24211.3,27469.5
Pancreatic,Initial phase (0-1 years),III,18910.7,17152,20669.3
Pancreatic,Initial phase (0-1 years),IV,15286.3,13616.3,16956.3
Pancreatic,Initial phase (0-1 years),Missing/Unknown,15757.5,14085.5,17429.6
Colorectal,Overall costs,I,20345,19932.1,20757.9
Colorectal,Overall costs,II,27107.9,26422,27793.8
Colorectal,Overall costs,III,36224.3,35555.8,36892.9
Colorectal,Overall costs,IV,37838.4,37151.9,38524.9
Colorectal,Overall costs,Missing/Unknown,22483.7,21620.5,23346.9
Head and neck,Overall costs,I,20733.2,20084.3,21382.2
Head and neck,Overall costs,II,29623.6,28393.3,30854
Head and neck,Overall costs,III,36134.6,34917,37352.3
Head and neck,Overall costs,IV,36657,35655.9,37658
Head and neck,Overall costs,Missing/Unknown,24753,23512.3,25993.6
Liver,Overall costs,I,27530.3,26228,28832.7
Liver,Overall costs,II,28355.6,26161.2,30549.9
Liver,Overall costs,III,22913.9,20642.6,25185.3
Liver,Overall costs,IV,20482.5,18505.8,22459.1
Liver,Overall costs,Missing/Unknown,21996,20079.1,23912.9
Lung,Overall costs,I,25050.5,24745.4,25355.5
Lung,Overall costs,II,29552.5,28922.7,30182.3
Lung,Overall costs,III,27483.6,26967.6,27999.5
Lung,Overall costs,IV,20302.8,19833.1,20772.5
Lung,Overall costs,Missing/Unknown,16420,15718,17122
Lymphoma,Overall costs,I,26134.4,25265.1,27003.8
Lymphoma,Overall costs,II,33784.1,32193.9,35374.4
Lymphoma,Overall costs,III,38304,36814.6,39793.4
Lymphoma,Overall costs,IV,42667.2,41321,44013.5
Lymphoma,Overall costs,Missing/Unknown,29255.7,27762.7,30748.7
Oesophageal,Overall costs,I,29339.8,28534,30145.6
Oesophageal,Overall costs,II,33639.8,32301.8,34977.7
Oesophageal,Overall costs,III,32152.7,30928.4,33377
Oesophageal,Overall costs,IV,20285.9,19062.7,21509.1
Oesophageal,Overall costs,Missing/Unknown,22265.5,20874.9,23656
Ovarian,Overall costs,I,17423.2,16669.7,18176.7
Ovarian,Overall costs,II,32115.1,30241.7,33988.5
Ovarian,Overall costs,III,47028.7,45786.5,48270.9
Ovarian,Overall costs,IV,45871.4,44508.4,47234.4
Ovarian,Overall costs,Missing/Unknown,25157.6,23629.1,26686.1
Pancreatic,Overall costs,I,29070,27912.1,30227.9
Pancreatic,Overall costs,II,39350.9,37564.8,41137.1
Pancreatic,Overall costs,III,30615.3,28775.1,32455.5
Pancreatic,Overall costs,IV,17353.6,15677.4,19029.8
Pancreatic,Overall costs,Missing/Unknown,23378.2,21631.6,25124.9
